Campaign ID,Campaign
857661325,Experiment_Furniture_Hackathon 3
848539391,Experiment_Home Decor_coop #4
869439004,Experiment_Jewelry_Smart Bidding 4
742148558,Experiment-Bedding Geo Jan 24
51011004,Generic_Standard_Bath
671823483,Generic_Standard_Bedding
50914284,Generic_Standard_Clothing
168686004,Generic_Standard_Electronics
50899044,Generic_Standard_Furniture
627280282,Generic_Standard_Garden
50915244,Generic_Standard_Handbags
51039444,Generic_Standard_Home Decor
50870004,Generic_Standard_Housewares
416109084,Generic_Standard_Jewelry
50927484,Generic_Standard_Luggage
50964924,Generic_Standard_Pets
617081218,Generic_Standard_Sunglasses
415454844,Head Terms
647710746,Standard_Crafts
244276524,Standard_Emergency Prepardness
50981364,Standard_Health & Beauty
640410366,Standard_Partners
,Experiment_Bedding_Max Conv
,Experiment_Furniture_Max Conversions
,Experiment_Jewelry_Maximize Conversions 3
,Experiment_Generic_AutoKeyword_Furniture
